clean text,polarity,subjectivity,location,,sentiment,,notes
depressing amp enraging ... Ban ban ... Yet lets legalize Opiods ... Raise taxes tak…,-0.1,0.1,winter park,,,,
Devise Sharia Taghyieh lie detectors full Pakistani…,0,0,"California, USA",,,,
Dibuoxeine opiod painkiller Approved treat severe polarization malleable fever Contraindicated quetiapine,-0.4,0.6,,,,,
Did know people drink bud light eat flaming hot Cheetos opiods,0,0,Worldofwarcraft,,,,
Did know Yang similar stronger policy handling opiod crisis …,0,0,,,,,
Did mean end first sentence fentanyl opiods,0,0,United States,,,,
Did n't Calvin Johnson talk opiods pretty much given like candy athletes,0,0,,,,,
Did say answer Opiod epidemic rehab finding grace Are fucking serious,0,0,"North Carolina, USA",,,,
Die opiod overdose like many junkies,0,0,"Life Magazine, May 9, 1938, pages 31 to 42",,,,
Discount opiods everyone,-0.5,0.5,,,,,
Disrupting cocaine fentynal trafficking Opiod related deaths T…,0,0,,,,,
Disrupting cocaine fentynal trafficking Opiod related deaths Thanks…,0,0,,,,,
Do forget role allowing opiod epidemic spiral control,0,0,"Arizona, USA",,,,
Do heart more- follow individual peoples lives improved- stopped illegal a…,0,0,"Grand Rapids, MI",,,,
Do know difference,0.1,0.383333333,,,,,
Do n't forget drugs obama/binden helped terrorists smuggle US opiod crisi…,-0.1,0.1,,,,,
Do n't forget drugs obama/binden helped terrorists smuggle US opiod crisis .…,0,0,"pittsburgh, pa",,,,
Do n't get started drugs release public It 's worse opiod crisis,-0.1,0.1,,,,,
Do n't gloss opiod/crack epidemic disparity watching,0.6,0.25,"Massachusetts, USA",,,,
Do n't hold accountable Opiod crisis I taking medicatio…,0,0,"North Carolina, USA",,,,
Do n't worry Andrew Yang adult room last night 's debate talked rea…,0.7,0.6,"Lebanon, Tn ",,,,
Do n't worry Andrew Yang adult room last night 's debate talked real proble…,0.2,0.2,"Nashville, TN",,,,
Do people misuse opiods Yes Do doctors prescribe like crazy Yes But opiods whatever people take ord…,0,0,,,,,
Do power gorge couch watching TLC opiods three months,0,0,NY,,,,
Do reckon 's mixture opiods straight coke Because 's starting junkie spin ... 🤔,-0.1,0.1,,,,,
"Do responsible ,600 deaths responsible less a…",0.7,0.6,california,,,,
Do think get point opiod-head working title memes 🤔 Like epidemic g…,0.1,0.1,"New Jersey, USA",,,,
Do think prosecutors trying establish deaths connected fentanyl s…,0,0,,,,,
Do think surviving criminals pharmaceutical criminals opiods cancer MKUltra survive …,0,0,,,,,
Doctor prescription narcan one house case..co payment grazy damn opiods pills …,-0.1,0.1,"Lynwood,CA",,,,
Doctors prescribe CHILDREN hormone replacement causing epidemic Just like opiod/opiate crisis in…,0.7,0.6,Los Angeles,,,,
Does AJ HIV Or opiod trip,-0.1,0.1,,,,,
Does anyone give even half fuck americans They 're dying TENS thousands opiods Why ANYON…,-0.333333333,0.733333333,USA,,,,
Does mlb test opiods,-0.1,0.1,no,,,,
Does video people highlight importance us seriously address Opiod Crisis…,0,0,"Toronto, Ontario",,,,
Don ’ ask done Louisiana Other lying veterans helping show…,0,0,United States,,,,
Don ’ miss one Come early Full House eected Whether happy happening Ci…,0.18,0.545,United States,,,,
Dow Jones Today Stocks Dip On China Warning Earnings Bank Of America Q3 Tops Drug Distributors Rise On Opioid D…,0,0,Central Coast California,,,,
Dr Drew one-sided die heart failure suicide Opiods maybe harmf…,0.7,0.6,"Fairfax, CA",,,,
Dr Drew one-sided die heart failure suicide Opiods maybe harmful t…,-0.216666667,0.383333333,East Tennessee,,,,
Dr Lembke PROPagandist believes surgeons ops reason amp pts want useless surgery This illustrates extent anti…,0,0,"California, USA",,,,
Dr Lembke PROPagandist believes surgeons ops reason amp pts want useless surgery This illustrates extent…,0,0,United States,,,,
Drs always look problems This whole thing literally causing problems There problem Next…,0,0,,,,,
Drug distributers look next line settle opiod litigation Not quite clear contributed t…,0.7,0.6,"New Jersey, USA",,,,
Drug/Opiod Epidemic Many survivors sexual violence self medicate trauma drugs,0,0,"Maine, USA",,,,
Drugs amp Addictions The programs work Find …,0,0,"Tulsa, OK",,,,
🤦‍️ The employee identified Eric Kay …,0.6,0.25,"Florida, USA",,,,
🤣🤣🤣🤣🤣🤣 What Ivank 's qualifications senior advisor WH And Jared In charge Middle…,0,0,United States,,,,
🤣🤣🤣🤣🤣🤣🤣 Guy abeg maybe Jesus opiod,-0.1,0.1,,,,,
🇺🇸 WE ARE CPP WE HAVE CONSTITUTIONAL RIGHTS BEING TRAMPLED IGNORED AND ABUSED AS WE DIE WITHER AWAY IN UNGODLY T…,0,0,127.0.0.1,,,,
🇺🇸 WE ARE CPP WE HAVE CONSTITUTIONAL RIGHTS BEING TRAMPLED IGNORED AND ABUSED AS WE DIE WITHER AWAY IN UNGODLY TORTU…,0,0,United States,,,,
Eating opiods like doritos,0,0,"ÜT: 47.37453,8.539848",,,,
Elain China gets borders opiods MILLER MORON,-0.1,0.1,"Ohio, USA",,,,
Elmo push opiods trying keep everyone happy Snuffy long bid big bird reme…,0,0,,,,,
Elmo push opiods trying keep everyone happy Snuffy long bid big bird remembered h…,0,0,,,,,
ending streets amp harm company set distribute opiods massi…,0,0,"Seattle, WA",,,,
Epic Games getting sued group parents Montreal making Fortnite `` addictive youths opiods '' …,-0.333333333,0.666666667,St Paul,,,,
epidemics n't attack states Greedy pharmaceutical companies addict kill people profit sanctioned corrupt government,-0.05,0.783333333,"New York, NY",,,,
Erin Krebs/SPACE study NONE patients long term opiods study 's year end all…,-0.1,0.1,"Washington, DC",,,,
Erin Krebs/SPACE V.A study NONE study group given opiods full yr pre-screened co…,0,0,"Mission, TX",,,,
Erin Krebs/SPACE V.A study NONE study group given opiods full yr pre-screened common…,0,0,USA,,,,
Erin Krebs/SPACE Vet Admin Study NOT ONE patients pre-screened checked PDMP random…,0,0,"Camden, New Jersey, USA",,,,
Erin Krebs/SPACE Vet Admin Study one pre-screened patients PDMP checked amp given random urinal…,0,0,,,,,
Especially young users lot would n't even know difference t…,-0.1,0.1,,,,,
ESPN reported Los Angeles Angels employee told Drug Enforcement Agency provided opiods late pitcher Tyl…,0,0,,,,,
Eszotrazetin opiod painkiller Approved treat low changelessness obsessive hemiplegic disorder Often used off-label low bronchit,-0.05,0.05,NC Triangle,,,,
Even become addicts prescribed prescription drugs pharma compa…,0,0,Hyperspace,,,,
"Even start taking target ,000,000 refugees 're going continue `` carbon taxing '' us p…",-0.5,0.75,,,,,
Even though I taken us use addiction getting us use i…,-0.1,0.4,salem nh,,,,
Every one took safe route rather focus racism amp capitalism amp poverty created perfect…,0,0.3,"Texas, USA",,,,
Every time accuse prescription opiods fueling OD crisis look closely,0,0,,,,,
Everyone concerned opiods well Big Pharma ploys,0,0,Russia Hacked My Vodka,,,,
Everyone follows mommy..y normal bet n't type weird opiod addixtions,0,0,,,,,
Everything 're saying pharmaceutical companies opiod crisis true fossil fuel companies …,0,0,NY Is a shithole,,,,
Everything 're saying pharmaceutical companies opiod crisis true fossil fuel companies and…,0.18,0.545,"Olathe, KS",,,,
Except capitalism actually favor decriminalization The opiod crisis actually…,-0.166666667,0.433333333,"Boston, MA",,,,
Excuse Mr Yang I ca n't even get opiods pain,0,0,NorCal,,,,
Exhibit A many “ opiod epidemic ” versus “ war drugs ”,0,0,"Plano, TX",,,,
Extinction bees silent disaster making To reverse process developing beehives along…,0,0,"Washington, USA",,,,
eyes opened x wider comes opiod crisis many families losing loved ones due overdoses…,0,0,,,,,
eyes opened x wider comes opiod crisis many families losing loved ones due to…,0,0,Philippines,,,,
Fact use twice day WITH long acting oral opiods point By two shots hero…,0,0,United States,,,,
False equivilancy Will tell NYC Council issues black market products amp ad…,0.5,0.5,With your mom.,,,,
Fed 's opiods ...,0,0,,,,,
Fentanyl/Opiods Sachler Vaccines Gates civil unrest Soros `` …,0.2,0.2,"Cortland, NY",,,,
Finally Dept Health Human Services finds compassion legitimate long term users opiods Acknowledg…,0,0,"SF, Ca",,,,
find funny ’ feel like homosexuality “ adult ” eed children ’ seen…,0,0,"New York, USA",,,,
FIRST HE ABSOLUTELY KNOWS THAT THERE IS NO MAGICAL BAND-AID TO ELIMINATE THE OPIOD EPIDEMIC THAT NOT ONLY IS AFFEC…,-0.113333333,0.468888889,,,,,
First L cares anything matters How children caged drugged raped-raped border.…,-0.1,0.1,United States ,,,,
First L cares anything matters How children caged drugged raped-raped t…,0,0,Long Island ,,,,
Foolish I thought drug companies pushing opiods doctors financial i…,0.6,0.25,"Massachusetts, USA",,,,
Foolish I thought drug companies pushing opiods doctors financial incentive…,-0.166666667,0.433333333,MINNESOTA&ARIZONA ,,,,
For decades fed TNeans nothing lies amp GOP talking points without s…,0,0,"Houston, TX",,,,
For decades fed TNeans nothing lies amp GOP talking points without significan…,0,0,Boston MA,,,,
For decades fed TNeans nothing lies amp GOP talking points without significan…,-0.166666667,0.433333333,"Virginia, USA",,,,
For decades fed TNeans nothing lies amp GOP talking points without significant le…,0,0,"Oakland, CA",,,,
For decades fed TNeans nothing lies amp GOP talking points without significant leg…,0,0,"Texas, USA",,,,
For decades fed TNeans nothing lies amp GOP talking points without significant legisl…,-0.107142857,0.517857143,"Owings, MD",,,,
For decades fed TNeans nothing lies amp GOP talking points without significant legislativ…,0.0625,0.5,"Texas, USA",,,,
For decades fed TNeans nothing lies amp GOP talking points without significant legislative…,-0.1,0.1,,,,,
For reason restricting opiod prescri…,0,0,,,,,
Foreign Journalists community New York join us next event Tuesday October pm offices ta…,0,0,best country in the world ,,,,
FREE OPIODS FOR EVERYONE,0,0,"Glen Cove, NY",,,,
From affordability corporate stranglehold government capitalism run amok greed killing people pushin…,0,0,"Huntsville, AL",,,,
FROM THE PIT would YOU consider WEAPON OF WAR flood country FAKE vaping it…,0.125,0.55,"Brooklyn, NY",,,,
FROM THE PIT would YOU consider WEAPON OF WAR flood country FAKE vaping items op…,0,0,,,,,
fuck democrats get debates canada gets doesnt talk opiods guns drugs sexwork,0,0,"Mount Vista, WA",,,,
fucking opiod commercials piss addicts portrayed poc white person acts horr…,0,0,,,,,
Funny ’ ask Booker big pharma opiod issue ... anyone jersey knows,0.7,0.6,"California Kid, on Mars ",,,,
Funny n't UK citizen nearly died lied opiod dangers years ago I nearly…,0,0,,,,,
Funny thing I aware orientals Asians opiod addictions I thought `` white drug '' t…,-0.3,0.45,NJ - AZ - NC ,,,,
GADD 's ok UNIVERSAL make money PEDOPHILE That 's ... fine `` Gary Glitter gets n…,0,0,"San Francisco, CA",,,,
Gamified alcoholism Maybe achievements opiods soon Huxley ‘ saw coming,0,0,"Fort Worth, TX",,,,
generated …,-0.1,0.1,,,,,
gentle reminder US trying control opioid production afghanistan produces worlds opiod…,0,0,MD USA 🇺🇸 USA 🇺🇸 USA 🇺🇸 ,,,,
Get Yang Preach Opiod Crisis brother,0,0,"Infatroopen, MN",,,,
gets BIG PHARMA blame opiod crisis Put resources communities get hu…,0,0,,,,,
Give BILLION CHINEESE AINT THAT THE PROBLEM THEY STOLE TRILLIONS ALREADY.. GIVE…,0.18,0.545,"New York, NY/Fla/ Wisc-raised",,,,
gives detailed response opiod crisis New Hampshire,0,0,"New York, NY",,,,
glad doneb much end opiod crisis promised way better shillary,0,0,"Albuquerque, NM",,,,
Glad talking opiod drug issues We need prioritise rehabilitation Locking people u…,-0.1,0.1,,,,,
Glossed mental illness ignored rights patients access opiods even whispered reality…,0.18,0.545,Internet,,,,
Glossed mental illness ignored rights patients access opiods even whispered t…,-0.2,0.8,citizen of the world,,,,
Go Eastern Kentucky look people eye thrust poverty tell th…,0,0,,,,,
god im watching sesame street clip opiod addiction fucking depressing privatised…,0.7,0.6,Retweets=FYI,,,,
Gon na probably watch Dune tonight 's bad opiods like norco vicodin barely effect I could be…,0,0,Oklahoma,,,,
Good God What happened Do No Harm It amazes technology amp treat patients like…,0,0,"New York, USA",,,,
Good points Opiod prescribing important issue many countries including UK along pr…,0.025,0.166666667,"Minnesota, USA",,,,
Good Until please come join I fight pervasive gun vi…,0,0,Thunder Road,,,,
Google county health department Opiod related deaths I I ’ call deaths y…,-0.333333333,1,Kelly / 19 / She/Her,,,,
got reports fields entire GOP bound op…,0.5,0.5,,,,,
got ta stoked break news Skaggs Opiod addiction Congrats Sucks We 've lost loved ones Horrible What hope prove,0,0,usa,,,,
Gov.Newsom needs focus homeless crisis affordable housing opiod epidemic amp mostl…,0,0,"Lincoln, NE",,,,
Government Failure caused Opiod Crisis I agree Great article giv…,0,0,Ukraine -Liberal Meltdown 9989,,,,
Government Failure caused Opiod Crisis I agree Great article giving us the…,0,0,Australia,,,,
government hook citizens opiods point death destroying families ruining lives…,0.35,0.65,,,,,
Govt CDC complete RX Opiods Stop cutting people OFF,0,0,"San Diego, CA",,,,
Grabe pala opiod crisis US Also fuck doctors prescribing fentanyl So fucked,0,0,"Dallas, TX",,,,
Great answer crisis mention,0,0.5,Northern California,,,,
Great story China 's involvement US crisis underreported It significant little WH movement s…,0,0,"Kentucky, USA",,,,
Great things happening PaintedPinky5k support fight o…,0,0,NW Florida,,,,
Great Update On Boarder Security Numberswise Less Opiod Deaths Hopefully Lon-T…,-0.1,0.1,"Fayetteville, NC",,,,
Great work opiod epidemic keep fight,-0.1,0.1,Mega City 3,,,,
Greenpoint Opioid heaven hipsters Manhattan Ave home Opiod Zombies,0,0,"Portland, OR",,,,
Greg Can create mandatory high school education Opiod/Fentanyl dang…,0.7,0.6,"Los Angeles, CA",,,,
Harris Re opiod epidemic Wants send pharma executives jail,-0.107142857,0.517857143,United States,,,,
Has Barr even stepped foot rural community TN de…,0,0,Guam,,,,
Hatred briefly energizing ultimately exhausting,0,0,"Fredericksburg, VA",,,,
Have done research many White Mothers bury Children becau…,0,0,USA,,,,
Have friend profitted op…,0.35,0.65,,,,,
Have heard judge Perdue Pharma case put halt civil federal cases…,0,0,"Standing w VETERANS & CITIZENS, Some LEOs",,,,
Have mandatory heroin buyback Ban opiods,0,0,"Long Beach, CA",,,,
He ’ senior home He told “ It ’ hard get drink here. ” He ’ still treatment Th…,-0.1,0.1,,,,,
He adopted Tucker Carlson Opiod Constipation Squint,0,0,Twitmo ,,,,
He called Opiod addict bitch I COULD Never🤣🤣 watch I get Script thooooooo,0,0,,,,,
He forgot He busy solving opiod problem slipped mind Jared Kushner Failed Disclose He L…,0.18,0.545,"Detroit, MI",,,,
He pulled Obamas iran deal reimposed crippling sactio…,0,0,"Canton, MI",,,,
He 's `` whipping boy '' threat one believes liberty On an…,0,0,United States,,,,
He 's doctor 's foreshadowing opiod crisis,0.18,0.545,,,,,
He 's saving POPPY fields Afghanstan ship new batch OPIODS…,-0.25,0.6,"Austin, TX",,,,
He supports Europe thier efforts curb opiod crisis wan…,0.35,0.65,"Washington, DC",,,,
He supports Europe thier efforts curb opiod crisis wants catc…,0,0,,,,,
Heard many doctors say opiods replaceable I believe No need addictive shit,-0.4,1,Go your own way,,,,
heartfelt correct These corporations need pay opiod treatment This mo…,0.5,1,"Austin, TX",,,,
heatcheck cap ask someone actually like ’ nuts say yes two options .Capping opiod addiction,0,0,"Los Angeles, CA",,,,
heh maybe Assertio Therapeutics gearing lawsuits opiod Nucynta,-0.1,0.1,"Texas, USA",,,,
Her healthcare plans- I believe healthcare right every single person affordable access h…,0,1,"Minnesota, USA",,,,
Her mother opiod,-0.333333333,0.733333333,Patriot soapbox matrixxx rsbn,,,,
Her mother opiod Wtf,0,0,SF,,,,
Here `` Opiod Crisis '' Stop taking pain medications away from…,0,0,"Buffalo, NY",,,,
Here `` Opiod Crisis '' Stop taking pain medications away legitimate…,0,0,IVotedObamaAndIDidntLikeIt,,,,
Here ’ page FULL webinars use disorders,0.18,0.545,,,,,
Here ’ REAL story suicides crisis,-0.15,0.25,"Massachusetts, USA",,,,
Here 's opiods hijack brain …,0.7,0.6,"Denver, CO",,,,
Heroin opiod I n't watching I n't know way said,0.7,0.6,,,,,
Heroin opiod 's illegal,0,0,swamps o'florida,,,,
heroine use heavily linked opiod use triggers reward centers brain lot the…,0,0,,,,,
Hes Americas modern revolutionary discussing UBI Automation Opiod Crisis VAT th…,-0.1,0.4,California NATIVE #MAGA ,,,,
hey ... .what NBA 's pals prolific opiod smuggling,0.7,0.6,Utah...for now,,,,
Hey addicts mainly heroin cocaine users legally prescribed properly used opiod medicat…,0.25,0.333333333,,,,,
Hey Chuck How fellow Dems making Opiod crises save American lives U…,1,0.3,United States,,,,
Hey E-Sigs immediate uproar media ... ... ... maybe deaths I remembe…,0,0,"Brooklyn, NY",,,,
Hey FUCK THE OPIOD EPIDEMIC,-0.125,0.75,Salish Sea,,,,
Hey What 's point requiring prior authorization medication I 've years Your…,0,0,"Burlington, VT",,,,
Hey Yang opinion opiod epidemic ...,-0.1,0.1,"Florida, USA",,,,
HHS Announces Guide Appropriate Tapering Discontinuation Long-Term Opioid Use Publishes new Guide Clinicians…,-0.291666667,0.541666667,D.C.,,,,
HHS Announces Guide Appropriate Tapering Discontinuation Long-Term Opioid Use Publishes new Guide for…,0.18,0.545,,,,,
HHS Guideline Discontinuation Opiods,0.7,0.6,"Winston-Salem, NC",,,,
Hi I live Spain buy lot non opiod prescription drugs counter I…,-0.333333333,1,Cat Island,,,,
Hi I live Spain buy lot non opiod prescription drugs counter…,0,0,,,,,
Hmm days people seem sorry drug users anything Never see people mad trump…,0,0,Puerto Rico,,,,
Hmm Sorry I n't realize I wasting good sarcasm Nobody debates description state…,0,0,"Lakeland, FL",,,,
Holly crap ... Yang said lets legalize Opiods Heroine ... personal use OMG freaking kidding …,0,0,"Charleston, WV",,,,
Hospitals failed report drug-related deaths including started city manager 's home CBC Ne…,0.7,0.6,"Charlotte, NC",,,,
How America views “ Opiod Crisis ”,0,0,,,,,
How Australia 's smallest state wound middle America 's biggest drug crisis …,0.05,0.191666667,"Los Angeles, CA",,,,
How Australia 's smallest state wound middle America 's biggest drug crisis …,-0.1,0.1,"Miami, FL",,,,
How banning opiods sale period pharma opioids ... .oh wait guys get money pharma…,0,0,,,,,
How come 're signing bills tackle opiod homelessness crisis Inquiring minds want know,-0.333333333,1,Antares,,,,
How fact still business nation hijackers came f…,0,0,I am not affiliated w/pk in CO,,,,
How I miss opiods part 🤦‍️,0,0,,,,,
How many deaths happen every single day,0,0,"Knoxville, TN",,,,
How many leaders World talking `` ethnic cleansing '' Is U.S. supposed save whole worl…,0,0,,,,,
How many people believe pain/addiction opiod 's leads dep/suicide From Vet standpoint I know firsthand is.…,0.16,0.54,"Los Angeles, CA",,,,
How many people believe pain/addiction opiod 's leads dep/suicide From Vet standpoint I know firsthand…,0.7,0.6,,,,,
How need take opiods first place,0,0,"San Antonio, TX",,,,
How nice Perhaps ’ like live unending pain tell doe…,0.8,0.75,School of Hard Knocks,,,,
How often opiods prescribed thyroid surgery Drs James Wu exa…,0,0,"Weehawken, NJ",,,,
How often opiods prescribed thyroid surgery Drs James Wu examin…,0.7,0.6,"Oakland, CA",,,,
How opiod addiction handled annoys greatly Not people dealing n't deserve help because…,0.18,0.545,DC suburbs ,,,,
How opiod addiction handled annoys greatly Not people dealing n't deserve help it's…,0.7,0.6,New York,,,,
How sleep night You knew opiod law would yet were…,-0.125,1,Las Vegas,,,,
How sleep night You knew opiod law would yet…,0,0,South Carolina,,,,
How stupid though I give weekend state law says I order to…,-0.3,0.662962963,Ivory Tower in Ohio,,,,
How u decriminalize opiods legal SMH,0.18,0.545,"East Coast, USA",,,,
How would stop opiod issue,0,0,"Brooklyn, NY",,,,
However greedy may however chic screw corporation …,0.18,0.545,"Georgia, USA",,,,
HS Announces Guide Appropriate Tapering Discontinuation Long-Term Opioid Use Publishes new Guide C…,0.8,0.75,Pennsylvania ,,,,
I ’ agree making Opiods legal Imagine epidemic happens,0,0,USA,,,,
I ’ glad I ’ writing dissertation opioid stigmas impact chronically ill patients OPIOD STIGMA CAN FUCK…,0.18,0.545,"New York, NY",,,,
I ’ glad I ’ writing dissertation opioid stigmas impact chronically ill patients OPIOD STIGMA CAN…,0,0,"Driftwood, Texas",,,,
I ’ go different vet Our vet ’ treat dog opiod cough medicine new vet problem,0.7,0.6,"San Francisco, CA USA",,,,
I ’ soo Sesame Street introducing character ’ parent battling OPIOD addiction,0,0,Ohio,,,,
I ’ understand ’ going executives pharmaceutical companies Why ’ w…,-0.25,0.7,Drexciya,,,,
I absolutely desire get benzos I 've years If doctors treat new `` opi…,0,0,"West Virginia, USA",,,,
I acknowledge opiod addiction real serious issue trust MLB handle issue way that's…,0.2,0.55,,,,,
I actually close opiod user year luckily,0.138888889,0.272222222,"Michigan, USA",,,,
I addicted opiods years ago people call heads pharmaceutical companies…,0.3,0.75,,,,,
I addicted thirteen Opiods cocaine uppers I put solitary…,0,0,"Washington, DC",,,,
I agree Bozo O'Rourke one aspect ... If want fix opiod epidemic legalize prescribe mari…,0.35,0.35,,,,,
I agree getting illegal opiod use control however punishing ne…,0.122222222,0.211111111,Texas,,,,
I agree Government controlled healthcare a…,0.116666667,0.327777778,,,,,
I agree lies problem ’ ’ opiods bad take die etc,0,0,,,,,
I agree treated disrespect accomplis…,0,0.1,"New York, NY",,,,
I agree treated disrespect accomplishments are…,-0.1875,0.5,New Jersey /New York,,,,
I appreciate Program aimed helping Recovery Re-establish Productive Life Employmen…,0.2,0.1,"cabot, ar",,,,
I appreciate Program aimed helping Recovery Re-establish Productive Life Employment B…,0.15,0.5,Planted on Earth,,,,
I appreciate Program aimed helping Recovery Re-establish Productive…,0.1,1,,,,,
I believe I commenting Andrew Yang 's opiod policy,0,0,Georgia ,,,,
I beseech pursue training This opiod crisis epidemic You never know come handy …,0,0,Dc,,,,
I ca n't believe literal opiod-addicted muppet Sesame Street Not knocking means crazy world live damn,0.5,0.15,"New York, NY",,,,
I ca n't disagree But 's opiods moved t…,0.16,0.54,"Pasadena, CA",,,,
I ca n't even begin describe happy makes As someone whos childhood plagued opiod crisis I…,0.35,0.65,"Ann Arbor, MI",,,,
I completely agree fucked royally comes supporting Black Americans w/ addic…,0.1,1,,,,,
I completely agree fucked royally comes supporting Black Americans w/ addictions but…,0.018181818,0.227272727,"Mesquite, TX",,,,
I CRPS/RSD aka suicide disease Check McGill pain scale wo…,0,0.9,Wisconsin,,,,
I 'd love connect mentor mine leads Georgia 's opiod prevention work Go get 'em,0,0,"Oregon, USA",,,,
I 'd love see numbers many `` Christians '' died opiods ... doubt number yuuuuge,-0.3,0.6,california,,,,
I 'd mention opiods often possible It 's gotten nearly attention deserves debates,0,0,U.S.A.,,,,
I DEMAND MASS INCARCERATION FOR OPIOD AND METH ABUSERS THEY MUST BE TREATED LIKE BLACK CRACK ADDICTS OF THE 'S…,0,0.5,"Prince William County,Virginia",,,,
I disagree drugs completely 's easier get kids gang get opiods,0.05,0.5,"Hereford, Maryland",,,,
I disappointed ur answer debate question It strikes would see di…,-1,1,San Diego,,,,
I DONT CARE ABOUT MATT LAUER 'S TROUBLES We insane president presidential campaign kids…,0,0,USA,,,,
I dunno man ... I fell opiod thing may really screw us,0,0,"Chicago, IL",,,,
I dunno since opiods somehow sanitized uppity white folks addiction ... got HBO rig…,0,0,Middle of the Compass Rose,,,,
I dunno since opiods somehow sanitized uppity white folks addiction ... got HBO right…,0,0,,,,,
I eeriences I n't pain management team team docs top t…,0.2,0.1,,,,,
I faith cops wo n't shoot people people wo n't steal one will…,0,0,"Georgia, USA",,,,
I FOUND ANOTHER OPIOD USER WHO THINKS JOKER BETTER THAN ENDGAME,0.4,0.8,Ground Zero,,,,
I found beat called Opiod Induced Constipation I ’ never I imagine ’ lot like bei…,0,0,Nevada,,,,
I found norco pills I surgery I still ’ believe I really dealt pain Opiods scare,0.16,0.54,"Atlanta, GA",,,,
I fully support pivot answer opiod question,0,0,Cascadia,,,,
I get ’ serious situation I ’ trying un…,-0.5,0.9,,,,,
I get feeling much widespread problem think Certainly one…,-0.333333333,0.733333333,,,,,
I get feeling much widespread problem think Certainly…,0.5,0.5,"Texas, USA",,,,
I get idea behind child watching sesame street wont understand parents opiod addiction…,0,0,"Louisiana, USA",,,,
I got healthcare last April amp Dr. wo n't prescribe opiods chronic pain arthritis amp muscl…,0.0875,0.408333333,North Carolina,,,,
I got opiod pain meds yrs quit smoking Mos later,0,0,Earth,,,,
I got opiod pain meds yrs quit smoking Mos later,0,0,"Georgia, USA",,,,
I heard Dr.Assad ... said wo n't tell practice medicine unless…,-0.2,0,Ames,,,,
I heard googled watched YouTube videos fell love Yang.Bought MSTH hat I disappoint…,0,0,,,,,
I hope 's 's called pain management I wo n't able cope opiod addiction ...,0,0,"East Village, NYC",,,,
I hope sake Trump fixes opiod crisis,0,0,"Durham, NC",,,,
I interrupt inane ramblings bring something important My friend talented filmmaker Amanda You…,-0.333333333,0.733333333,United States of America ,,,,
I know Benzodiazepines bad supposed new version Opiod Epidemic I ’ absolutel…,0,0,"Colorado Springs, CO",,,,
I know Benzodiazepines bad supposed new version Opiod Epidemic I ’ been…,0,0,"Washington, DC",,,,
I know k die every year US opiod ov…,0,0,Boston,,,,
I know opiod Crisis ... anyone noticing increase meth production Coming NEIGHBORHOOD near,0,0,United States,,,,
I know two PhD scientists working opiod overdose antidote waiting decade a…,0.1,0.3,United States,,,,
I know Was n't going argue the…,0.35,0.3,"South Carolina, USA",,,,
I know wo n't happen could excellent thing `` punishment '' opiod abuse…,0,0,"43.652543,-79.412429",,,,
I law client used cannabis get opiods prescribed chronic pain Now provincia…,0.5,0.666666667,United States,,,,
I law client used cannabis get opiods prescribed chronic pain Now provincial benef…,-0.4,1,In my own world...,,,,
I learned things like best ways cope w/the stress heard inspiring stories Men Living…,-0.25,0.4,New York City,,,,
I like idea decriminalizing opioids I see patient ’ time affected opiod crisis are…,0,0,,,,,
I like idea decriminalizing opioids I see patient ’ time affected opiod crisis ones…,-0.1,0.85,United States,,,,
I like Yang ’ response opiod topic But moderators really asked Dem candidates…,0.1,0.1,ashadedarker.info,,,,
I 'll guess NumbNuts Adam Gomorra Schiff- hits ca n't sleep eat squat Trump Derangement Opiod Hate without…,0.45,0.75,"Cayce, South Carolina",,,,
I lost brother opiods This hits home,0,0,Northampton,,,,
I lost son opiods well She n't clue,0,0,#MAGA #KAG  ,,,,
I love idea kratom I try back I got s…,-0.5,0.5,Texas,,,,
I love opiod,0,0,"Portland, OR",,,,
I love say 'll solve opiod crisis going pharmaceutical companies like people ca n't just…,0.277777778,0.5,"CALIFORNIA, USA",,,,
I 'm bad person concept Opiod Muppet funny,0.35,0.3,Saginaw Michigan,,,,
I 'm currently reading I recommend anyone wants learn origi…,0,0,"Texas, USA",,,,
I 'm furry I 'm technician drug testing lab Really puts opiod crisis perspective,0,0,,,,,
I 'm glad cut talk opiods,0,0,,,,,
I 'm honestly worried Joe somehow get mixed whole Angels/opiod issue even though he…,0,0,"Lived in DC, IN, CT, MN, PA, NC and now in MA.",,,,
I 'm I refuse take opiods ever use patches To many people died using these…,0,0,"Texas, USA, Earth",,,,
I 'm legalizing well however knowing peop…,0.5,0.5,"Loudonville, NY",,,,
I 'm neutral opioids I think cause massive amount suffering pain relief critical and…,0.25,1,Somewhere in Florida,,,,
I 'm offended amp I 'm regular small donor Pete I angel Mom offended 're running for…,0,0,New York,,,,
I 'm really confused answer opiods said wants tax consumers pay I mu…,0.5,0.666666667,"Seattle, WA",,,,
I 'm running f/ president need get famous quick make next debate I 'm candidate wh…,0,0,"Mesa, AZ",,,,
I 'm saying would n't happen I 'm trouble figuring motivati…,0.35,0.65,"Brooklyn, NY",,,,
I 'm starting believe well We need leave ignorant regions t…,0,0,"Florida, USA",,,,
I 'm starting believe well We need leave ignorant regions wall…,0.285714286,0.535714286,/biz/ meme regurgitator,,,,
I 'm sure MLBPA needs anything MLB probably re-work drug policy…,0,0,"Washington, D.C.",,,,
